DGDI,Driving_Scenes,,straightaway1,
DGDI,Driving_Scenes,,straightaway2,
DGDI,Driving_Scenes,,straightaway3,
DGDI,Driving_Scenes,,straightaway4,
DGDI,Driving_Scenes,,straightaway5,
DGDI,Driving_Scenes,,straightaway6,
DGDI,Driving_Scenes,,straightaway7,
DGDI,Driving_Scenes,,straightaway8,
DGDI,Driving_Scenes,,straightaway9,
DGDI,Driving_Scenes,,straightaway10,
DGDI,Driving_Scenes,,straightaway11,
DGDI,Driving_Scenes,,straightaway12,
DGDI,Driving_Scenes,,straightaway13,
DGDI,Driving_Scenes,,straightaway14,
DGDI,Driving_Scenes,,straightaway15,
DGDI,Driving_Scenes,,straightaway16,
DGDI,Driving_Scenes,,straightaway17,
DGDI,Driving_Scenes,,straightaway18,
DGDI,Driving_Scenes,,straightaway19,
DGDI,Driving_Scenes,,straightaway20,
DGDI,Driving_Scenes,,straightaway21,
DGDI,Driving_Scenes,,straightaway22,
DGDI,Driving_Scenes,,straightaway23,
DGDI,Driving_Scenes,,straightaway24,
DGDI,Driving_Scenes,,straightaway25,
DGDI,Driving_Scenes,,straightaway26,
DGDI,Driving_Scenes,,straightaway27,
DGDI,Driving_Scenes,,straightaway28,
DGDI,Driving_Scenes,,straightaway29,
DGDI,Driving_Scenes,,straightaway30,
DGDI,Driving_Scenes,,straightaway31,
DGDI,Driving_Scenes,,straightaway32,
DGDI,Driving_Scenes,,straightaway33,
DGDI,Driving_Scenes,,straightaway34,
DGDI,Driving_Scenes,,straightaway35,
DGDI,Driving_Scenes,,straightaway36,
DGDI,Driving_Scenes,,straightaway37,
DGDI,Driving_Scenes,,straightaway38,
DGDI,Driving_Scenes,,straightaway39,
DGDI,Driving_Scenes,,straightaway40,
DGDI,Driving_Scenes,,Crossroads1,
DGDI,Driving_Scenes,,Crossroads2,
DGDI,Driving_Scenes,,Crossroads3,
DGDI,Driving_Scenes,,Crossroads4,
DGDI,Driving_Scenes,,Crossroads5,
DGDI,Driving_Scenes,,Crossroads6,
DGDI,Driving_Scenes,,Crossroads7,
DGDI,Driving_Scenes,,Crossroads8,
DGDI,Driving_Scenes,,Crossroads9,
DGDI,Driving_Scenes,,Crossroads10,
DGDI,Driving_Scenes,,Crossroads11,
DGDI,Driving_Scenes,,Crossroads12,
DGDI,Driving_Scenes,,Crossroads13,
DGDI,Driving_Scenes,,Crossroads14,
DGDI,Driving_Scenes,,Crossroads15,
DGDI,Driving_Scenes,,Crossroads16,
DGDI,Driving_Scenes,,Crossroads17,
DGDI,Driving_Scenes,,Crossroads18,
DGDI,Driving_Scenes,,Crossroads19,
DGDI,Driving_Scenes,,Crossroads20,
DGDI,Driving_Scenes,,Crossroads21,
DGDI,Driving_Scenes,,Crossroads22,
